,Task ID,Instruction
384,76,pick the blue colored object on red tray
385,77,put the brown colored object into the red tray
386,77,put brown colored object on red tray
387,77,insert brown colored object in the red container
388,77,insert brown shaped object in red container 
389,77,insert the brown colored object on red tray
390,78,drop brown colored object on the red tray
391,78,Insert the brown colored object in the red tray.
392,78,insert brown shaped object in red container
393,78,insert brown shape object in red container
394,78,pick the brown colored object and place it to the red tray
395,79,place yellow colored object on red tray
396,79,place yellow colored object the red tray
397,79,insert yellow colored object to the red tray
398,79,put round shaped object in red container
399,79,insert yellow shape object in red container
400,80,put gray colored object into the red tray 
401,80,put the cup shaped object in the red tray
402,80,drop gray colored shaped object in the red container
403,80,put the gray shaped object in red tray
404,80,place cubical shaped object in red container
405,81,put blue colored object into red tray
406,81,put blue colored shaped object in the red container
407,81,put the blue colored object on red tray
408,81,put blue shaped object in the red container 
409,81,drop cylinder shaped object in red container
410,82,drop  white colored object in the red tray
411,82,drop the gray colored object into the red tray
412,82,space black shaped object in red container
413,82,slip black and white shaped object in red container 
414,82,put the gray colored object into the red tray
415,83,drop brown shaped object in red container
416,83,put brown colored object in the red tray
417,83,put the brown colored object on red tray
418,83,put brown colored shaped object  in the red container
419,83,drop the brown colored object in red tray
420,84,place the blue colored object in red tray
421,84,place blue colored object in red tray
422,84,put blue shaped object in red container
423,84,put blue colored shaped object in the red container
424,84,insert blue colored object was the red tray
425,85,insert gray shaped object in red container
426,85,put gray colored object in red tray
427,85,insert gray colored shaped object in the red container
428,85,put gray colored object on red tray
429,85,take  gray colored object with the red tray
430,86,drop white shaped object in red container 
431,86,drop white colored object into red tray
432,86,Pick up the colorless shape and place it in the red colored bin.
433,86,grasp white item and put it into red bin
434,86,take the white colored object with the red tray
435,87,enter red colored object the red tray
436,87,insert red shaped object in red container
437,87,compartment red shape object in red container
438,87,place red colored object on the  red tray
439,87,pick the red colored object to red tray
440,88,take orange colored object and the red tray
441,88,place orange shaped object in red container 
442,88,place the orange colored object on red tray
443,88,insert  orange colored object in the red tray
444,88,drop orange colored shaped object  in the red container
445,89,put yellow shaped object in red container 
446,89,Drop the  yellow colored object into the red tray.
447,89,insert the yellow color object and placed the red tray
448,89,put the yellow colored object into the red tray
449,89,insert yellow shaped object in red container
450,90,put pot shaped object in red container 
451,90,Grasp Chess coin shaped  and receptacle at container in the red color.
452,90,place vase shaped object into the red tray
453,90,put the vase shaped object on red tray
454,90,drop wedge shaped object in red container
455,91,place the chalice shaped object in red tray
456,91,take the chalice shaped object and insert to the red tray
457,91,put the chalice shaped object on red tray
458,91,drop tulip shaped object in red container 
459,91,slip tulip shaped object in red container
460,92,drop the freeform shaped object  in red tray
461,92,pick the freeform shaped object in red tray
462,92,drop organic shaped object in red container 
463,92,place freeform shaped object in red tray
464,92,space scribble shaped object in red container
465,93,place the bottle shaped object into the red tray
466,93,slip cylinder shaped object in red container 
467,93,put the bottle shaped object in the red tray
468,93,Drop the bottle shaped object in red tray.
469,93,slip cylinder shaped object in red side container 
470,94,insert canoe shaped object in red tray
471,94,insert the canoe shaped object on the red tray
472,94,put dugout shape object in red container
473,94,put the canoe shaped object into the red tray
474,94,put boat shaped object in red container 
475,95,insert the cup shaped object on red tray
476,95,slip cylindrical shaped object in the red container
477,95,slip cubical shaped object in red container
478,95,place cup shaped object in red tray
479,95,put the cup shaped object into the red tray
480,96,slip concave shaped object in the red container
481,96,place bottle  shaped object in the red container
482,96,put bowl shaped object in the red tray
483,96,insert the bowl shaped object on red tray
484,96,insert the bowl shaped object in red tray
485,97,put trapezoidal shaped object in red container
486,97,drop trapezoidal prism shaped object on the red tray
487,97,enter the trapezoidal prism shaped object on the red tray
488,97,drop trapezoidal prism shaped object in red tray
489,97,place square shaped object in red container 
490,98,insert cylinder shaped object in red tray
491,98,pick the cylinder shaped object to red tray
492,98,Drop the cylinder shaped object into the red tray.
493,98,space pillar shaped object in red container
494,98,space bottle shape object in red container
495,99,drop the round hole shaped object into the red tray
496,99,insert round shaped object in the red container 
497,99,Grasp the circular object and placed in the red receptacle.
498,99,pick the round hole shaped object in red tray
499,99,slip round  shaped object in the red container
500,100,insert white colored object in front tray
501,100,put cup shaped object to front container
502,100,put the gray and white colored object on front tray
503,100,put cup shaped object in the front container 
504,100,place the gray and white colored object the front tray
505,101,insert brown color shaped object  in the front container 
506,101,drop brown colored shaped object in the front container
507,101,enter the brown colored fountain vase inset the front tray
508,101, take  brown colored object  was the front tray
509,101,drop brown colored object the front tray
510,102,drop the blue colored object on front tray
511,102,drop blue shaped object in front container 
512,102,drop blue colored object on the front tray
513,102,slip blue shape object in front container
514,102,take blue colored object and drop to front tray
515,103,take the brown colored object on the front tray
516,103,pick the brown colored object in front tray
517,103,insert brown shape object in front container
518,103,drop brown colored object in the  front tray
519,103,slip brown shape object in front container
520,104,pick brown colored object to the front tray
521,104,place the gray and white colored object in front tray
522,104,insert round shaped object  to front container
523,104,slip black and white color shaped object in the front container 
524,104,put chalice shaped object in front tray 
525,105,insert trapezoidal shaped object in front container
526,105,drop the brown colored object take the front tray
527,105,insert brown colored object like the  front tray
528,105,space trapezoidal prism shaped object in front container
529,105,place brown colored object t with the front tray
530,106,slip brown shape object in front container
531,106,drop brown shaped object in front container
532,106,put the brown colored object on front tray
533,106,drop the brown colored object on front tray
534,106,Put the brown box in the front bin.
535,107,put the gray colored object on front tray
536,107,place tulip shaped object in front container
537,107,insert gray colored object on the front tray
538,107,place the gray colored object into the front tray
539,107,slip chalice shaped object in the front container
540,108,pick the white colored object in front tray
541,108,drop white colored object into the front tray
542,108,put white colored object in the front container
543,108,put cup shaped object to front container
544,108,drop white colored objected on the front tray
545,109,slip red shaped object in front container 
546,109,Move the item item containing a bowl like part to the bin in the front row.
547,109,put the brown colored object on front tray
548,109,insert the bowl shaped  object to front tray
549,109,insert brown colored object in front tray
550,110,pick the white color object on  front tray
551,110,put vase shaped object in front container
552,110,place the white color object to the front tray
553,110,put vase shaped object in front container
554,110,pick the white colored object on front tray
555,111,place  brown colored object on the front tray
556,111,place the brown colored object the front tray
557,111,drop vase shaped object in front container
558,111,put vase shaped object in front container
559,111,put brown colored object on the front tray
560,112,pick gray colored objected  was front tray
561,112,place gray colored object and the front tray
562,112,square bottle shaped object in front container
563,112,put the gray colored object in front tray
564,112,insert gray shaped object in front container 
565,113,drop white colored object in the front tray  
566,113,slip white shaped object in front container 
567,113,slip white colored object in the front container
568,113,put white colored object on the front tray
569,113,pick the white colored object in front tray
570,114,drop brown colored object in front tray
571,114,slip red colored shaped object in the front container
572,114,insert red colored shaped object in the front container
573,114,pick the bottle shaped pepsi bottle object insert front tray
574,114,drop brown colored object on front tray
575,115,drop brown colored  object on the front tray
576,115,drop red shaped object in front container
577,115,insert brown colored object do the front tray
578,115,slip red shaped object in front container
579,115,pick brown colored object and insert in front tray 
580,116,put orange colored shaped object in the front container
581,116,Take the orange colored object place the front tray.
582,116,drop canoe shaped object in front container
583,116,put the orange colored object into the front tray
584,116,Place the orange canoe inside the container in the front
585,117,put orange colored shaped object in the front container
586,117,put orange colored object into the  front tray
587,117, insert orange colored object like the  front tray
588,117,put orange colored shaped object in the front container
589,117,put the orange colored object into the front tray
590,118,put blue colored shaped object in the front container
591,118,place blue colored object on the front tray
592,118,put blue colored object on front tray
593,118,pickup shaped object and blue colored insert to front tray
594,118,put blue colored shaped object in the front container
595,119,put the brown colored object on front tray
596,119,drop brown colored shaped object in the front container
597,119,put the brown colored object on front tray
598,119,slip vase shaped object in front container
599,119,insert brown colored object on the front tray
600,120,put the gray colored object into the front tray
601,120,place the gray colored object in front tray
602,120,drop gray colored object on the front tray
603,120,drop gray colored shaped object  in the front container
604,120,space gray shape object in front container
605,121,put brown colored object in front tray
606,121,put vase shaped object in the front container
607,121,insert vase shaped object on the front tray
608,121,put brown shaped object in front container 
609,121,place brown colored object in front tray
610,122,insert brown colored shaped object in the front container
611,122,put brown colored object on the front tray
612,122,put brown colored object in the front tray 
613,122,drop brown shaped object in front container 
614,122,put brown colored object in front tray
615,123,Take hold of kayak shaped brown object and drop in the front side container
616,123,place brown shaped object  in front container 
617,123,drop brown colored object on the front tray
618,123,Drop the brown colored object to front tray.
619,123,place brown colored object  was the  front tray  
620,124,place the gray colored on the front tray
621,124,place gray color shaped object in the front container 
622,124,pickup the bowl shaped object and place  the front tray
623,124,put gray shaped object in front container
624,124,place gray colored object into the front tray
625,125,square gray shaped object in front container
626,125,pick gray colored object to the front tray 
627,125,place the gray colored object on front tray
628,125,drop gray colored object and the front tray
629,125,slip round hole shaped object  in the front container
630,126,put blue colored shaped object in the front container
631,126,drop the cup shaped object on the front tray
632,126,place the blue colored object on the front tray
633,126,put blue colored shaped object in the front container
634,126,pick blue colored object on the front tray
635,127,place the bowl shaped object to the front tray
636,127,place brown colored object on front tray 
637,127,space brown colored object and front tray
638,127,place brown shaped object in front container
639,127,put  brown shaped object in front container
640,128,Insert the brown colored object into the front tray.
641,128,insert shaped brick object in the front container
642,128,drop brown colored object a front tray
643,128,slip the brown color to the front tray
644,128,place square shaped object in front container
645,129,insert yellow colored shaped object in the front container 
646,129,slip the yellow colored object to front tray
647,129,insert yellow colored object the front tray
648,129,"place yellow colored, object to the front tray"
649,129,drop yellow colored shaped object in the front container
650,130,place gray colored object found the front tray
651,130,drop the gray colored object into the front tray
652,130,slip gray shaped object in front container
653,130,pick gray colored object with the front tray
654,130,insert gray shaped object in front container 
655,131,insert the blue colored object on front tray
656,131,place the cylinder shaped object to the front tray
657,131,put blue colored shaped object in the front container
658,131,put blue colored object in the front container
659,131,pick the blue colored object the front tray
660,132,insert cup shaped object in the front container 
661,132,Pick the white colored object insert the front tray.
662,132,place black shape object in front container
663,132,drop gray colored object in front tray
664,132,insert the gray and white colored object to front tray
665,133,stew round shaped object object in the front container
666,133,drop brown colored object in front tray
667,133,Pick the brown colored object to drop the front tray.
668,133,insert brown shaped object in front container 
669,133,drop the brown colored object the front tray
670,134,insert blue colored object on the front tray
671,134,space blue shaped object in front container
672,134,insert the blue colored object in front tray
673,134, pick blue colored object that the front tray  
674,134,slip blue color shaped object in the front container 
675,135,slip gray shape object in front container
676,135,insert gray colored object to the front tray
677,135,insert gray colored shaped object in the front container
678,135,pick gray colored object was the front tray
679,135,Take the gray colored object ans slip down the front tray.
680,136,insert the white colored object on front tray
681,136,space white shape object in front container
682,136,Insert the white colored object  to front tray
683,136,insert the white colored object on front tray
684,136,drop white shaped object in front container 
685,137,insert red color shaped object in the front container 
686,137,pick the brown colored object in front tray
687,137,Put the brown colored object in front tray
688,137,put the brown colored object into the front tray
689,137,drop cup shaped object to front container
690,138,insert orange colored shaped object in the front container
691,138,pick orange colored object was the front tray
692,138,place the orange colored object in front tray
693,138,place orange colored object in front tray
694,138,find the orange object and move it to the front bin
695,139,square yellow shaped object in front container
696,139,slip yellow colored shaped object in the front container
697,139,space yellow colored object and front tray
698,139,drop yellow colored object in front tray
699,139,put the yellow colored object in front tray
700,140,insert vase shaped object in front tray
701,140,Insert the vase shaped object to front tray.
702,140,insert vase shaped object into the front tray
703,140,slip brown shaped object in the front container
704,140,insert cylindrical shaped object in the front container
705,141,pick the chalice shaped object in front tray
706,141,place the chalice shaped object in front tray
707,141,slip cup shaped object in front container
708,141,square beaker shaped object in front container
709,141,place the chalice shaped object to  the front tray
710,142,place asymmetrical shaped object in front container
711,142,drop freeform shaped object on the front tray
712,142,place freeform shaped object in front tray
713,142,pick freeform shaped object is front tray
714,142,drop asymmetrical shaped object in front container
715,143,put cylinder shaped object in  front container 
716,143,take bottle shaped object do the front tray
717,143,place bottle shaped object to the front tray
718,143,drop Cylinder shaped object in front container
719,143,pick bottle shaped object take the front tray  
720,144,insert the canoe shaped object on front tray
721,144,insert curved shaped object in front container 
722,144,insert canoe shaped object into the front tray
723,144,pick up boat shaped item and place in receptacle in the front
724,144,slip coracle shaped object in front container
725,145,put the cup shaped object on front tray
726,145,slip cubic object in front container
727,145,slip blue colored shaped object in the front container
728,145,pick the cup shaped object and insert on front tray
729,145,put cup shaped object on the front tray
730,146,Grabbed the basin shaped object and deposited it into the front row bin.
731,146,place vase shaped object in front container
732,146,place the bowl shaped object on front tray
733,146,insert bowl shaped object in the  front tray  
734,146,space vase shape object in front container
735,147,place 3D shaped object in the front container
736,147,take trapezoidal shaped object and insert in front tray
737,147,drop trapezoidal prism shaped object on front tray
738,147,square trapezoidal shaped object in front container
739,147,place trapezoidal prism shaped object on the front tray
740,148,place bottle shaped object in front container 
741,148,place bottle shaped object in front container
742,148,place the cylinder shaped object on front tray
743,148,insert cylinder shaped object on front tray
744,148,inset cylinder shaped object on the front tray
745,149,enter the round shaped object front tray
746,149,slip round shaped object in front container
747,149,drop round shaped object in the front container 
748,149,take round hole shaped object to put in front tray
749,149,Lift the wide round pot and place it in the front row container.
750,150,put black and white shaped object in back container 
751,150, put cup shaped object in the back container
752,150,Put black and white colored object in the back tray.
753,150,insert black and white colored object the back tray
754,150,drop the cup shaped object and place it on the back tray
755,151,slip brown shape object in back container 
756,151,drop brown colored object on back tray
757,151,place brown colored object in back tray
758,151,drop brown colored object  in the back tray
759,151,space brown shape object in back container
760,152,put the blue colored object on back tray
761,152,slip blue shape object in back container 
762,152,place blue colored object to the back tray
763,152,put into the blue colored object at the back tray
764,152,place blue shaped object in back container
765,153,put the brown colored object on the back tray
766,153,place the brown colored object to the back tray
767,153,insert brown colored object at the  back tray
768,153,put brown shaped object in back container 
769,153,put  brown shaped object in back container
770,154,Drop the black and white colored object to the back tray.
771,154,Pick the black and white colored object and slip down the back tray.
772,154,insert chalice shaped object in back container
773,154,drop black and white colored object on the back tray
774,154,slip black and white shaped object in back container 
775,155,place the brown colored object at the back tray
776,155,insert the trapezoidal prism shaped object on the back tray
777,155,put the brown colored object the back tray
778,155,insert trapezoidal prism shaped object in back container
779,155,slip trapezoidal shaped object in back container
780,156,insert the brown color object to the back tray
781,156,droop trapezoidal shaped object in back container
782,156,Drop the brown colored object in back tray.
783,156,pick brown colored object and placed the back tray
784,156,drop trapezoidal shaped object in back container
785,157,insert gray colored  object to back tray
786,157,put gray shaped object in back container 
787,157,drop gray shaped object in back container
788,157,pick gray colored object on the back tray
789,157,drop the gray colored object to the back tray
790,158,place white colored objected on the back tray
791,158,put white colored object on to black tray 
792,158,insert white shaped object in back container 
793,158,drop the freeform shaped on the back tray
794,158,Pick up white cylinder and release it in the receptacle at the back
795,159,take the bowl shaped object and slip to back tray
